ID_aux;CODIGO;VIA;PREFERENCIA;PTJE_POND;TIPO_MATRICULA
id_896138975615;11021;1;2;608,8;1
id_996709977679;20098;1;10;588,25;2
id_996609977662;11087;1;2;639,4;1
id_719207177929;52497;1;1;575;1
id_250302574037;53309;1;5;579,45;1
id_218602178866;29028;1;1;747,4;1
id_225802272588;11520;2;1;603,2;4
id_681806874189;33025;1;1;554,15;1
id_901369073131;40021;1;1;512,3;1
id_737867374786;44006;1;1;696,3;1
id_463364679330;34052;1;1;672,65;1
id_380063874000;25067;1;1;559,8;1
id_322263270227;12018;1;4;634,3;1
id_666866675688;45009;1;1;600,9;1
id_8902989470256;11095;1;1;717,75;1
id_8988989278818;11033;1;1;690;1
id_8542985874293;16080;1;1;547,2;1
id_8733987273324;20081;1;1;549,8;1
id_8754987675450;36050;1;3;604,55;1
id_8123981172355;53307;1;1;517,9;1
id_8170981477033;50929;1;3;491,6;1
id_8459984975985;25015;1;1;608,8;1
id_8400984470011;27021;1;1;502,6;1
id_8240982774023;32059;1;1;554,65;1
id_8231982773157;14074;1;1;513,1;1
id_8246982474623;19050;1;1;711;1
id_8260982276026;55073;1;1;474,2;1
id_8266982076606;55022;1;1;444,5;1
id_8383983178369;34052;1;1;629,05;1
id_8054980275424;49108;1;1;593,4;1
id_8073980377381;34052;1;1;674,35;3
id_8635986373574;33035;1;1;505,7;1
id_8666986076649;26303;1;3;702,8;1
id_9535995573580;11055;1;1;709,65;1
id_9535995573525;17816;1;1;525,8;1
id_9444994274477;24017;1;6;542,55;1
id_9207992270763;16036;1;2;660,6;1
id_9387993478782;26038;1;1;494,6;1
id_9085990978565;40074;1;2;585;1
id_9045990574576;26032;1;1;476,9;1
id_9089990778900;19090;1;1;746,7;1
id_9097990279704;51130;1;1;481,7;1
id_9691996979195;21043;1;1;619,2;1
id_9688996378879;33025;1;3;626,35;1
id_5818958971826;29001;1;1;660,9;1
id_5868958976848;52100;1;1;576;1
id_5926959872696;12070;1;1;685,6;1
id_5936959873664;33053;1;6;723,8;1
id_5975959577520;33078;1;1;555,1;1
id_5913959571305;20086;1;1;579,9;1
id_5949959374905;55006;1;1;480,1;1
